mcdi,base,alt,grammar,initials, source,notes
bird,bird,birdie,"singular_noun, diminutive",SE,SE,
bird,bird,birdy,"singular_noun, diminutive",SE,SE,
fish (animal),fish,fishy,"singular_noun, diminutive",SE,SE,
fish (animal),fish,fishie,"singular_noun, diminutive",SE,SE,
dog,dog,doggie,"singular_noun, diminutive",SE,SE,
dog,dog,doggy,"singular_noun, diminutive",SE,SE,
duck,duck,duckie,"singular_noun, diminutive",SE,SE,
duck,duck,ducky,"singular_noun, diminutive",SE,SE,
horse,horse,horsie,"singular_noun, diminutive",SE,SE,
horse,horse,horsey,"singular_noun, diminutive",SE,SE,
frog,frog,froggie,"singular_noun, diminutive",SE,SE,
frog,frog,froggy,"singular_noun, diminutive",SE,SE,
pajamas,pajamas,jammies,"singular_noun, diminutive",SE,SE,
tv,tv,television,"singular_noun, diminutive",SE,SE,
mommy*,mommy,mama,"singular_noun, diminutive",SE,SE,
mommy*,mommy,mum,"singular_noun, diminutive",SE,SE,
mommy*,mommy,mummy,"singular_noun, diminutive",SE,SE,
mommy*,mommy,mom,"singular_noun, diminutive",SE,SE,
mommy*,mommy,mother,"singular_noun, diminutive",SE,SE,
daddy*,daddy,dada,"singular_noun, diminutive",SE,SE,
daddy*,daddy,baba,"singular_noun, diminutive",SE,SE,
daddy*,daddy,papa,"singular_noun, diminutive",SE,SE,
daddy*,daddy,father,"singular_noun, diminutive",SE,SE,
daddy*,daddy,dad,"singular_noun, diminutive",SE,SE,
grandma*,grandma,grammy,"singular_noun, diminutive",SE,SE,
grandma*,grandma,grandmother,"singular_noun, diminutive",SE,SE,
grandpa*,grandpa,grampy,"singular_noun, diminutive",SE,SE,
grandpa*,grandpa,grandfather,"singular_noun, diminutive",SE,SE,
doll,doll,dolly,"singular_noun, diminutive",SE,SE,
doll,doll,dollie,"singular_noun, diminutive",SE,SE,
pig,pig,piggie,"singular_noun, diminutive",SE,SE,
pig,pig,piggy,"singular_noun, diminutive",SE,SE,
egg,egg,eggy,"singular_noun, diminutive",SE,SE,
egg,egg,eggie,"singular_noun, diminutive",SE,SE,
truck,truck,trucky,"singular_noun, diminutive",SE,SE,
truck,truck,truckie,"singular_noun, diminutive",SE,SE,